study_id,authors,year,title,source,doi,study_type,data_modality,methodology,healthcare_focus,regulations_mentioned
S11,"Silvestri, S., Islam, S., Amelin, D., Weiler, G., Papastergiou, S., Ciampi, M.",2023,"Cyber threat assessment and management for securing healthcare ecosystems using natural language processing","International Journal of Information Security","10.1007/s10207-023-00769-w","Empirical Evaluation","Unstructured","NLP-Centric","High","GDPR"
S12,"Sun, N., Zhang, J., Wang, R., Kadoch, M., Li, W., Cheriet, M.",2023,"Cyber threat intelligence mining for proactive cybersecurity defense: a survey and new perspectives","IEEE Communications Surveys & Tutorials","10.1109/COMST.2023.3273282","Systematic Review","Multimodal","Knowledge-Based","Generic","None"
S13,"Saeed, S., Altamimi, S.A., Alkayyal, N.A., Alshehri, Y., Alabbad, D.A.",2023,"A systematic literature review on cyber threat intelligence for organisational cybersecurity resilience","Sensors","10.3390/s23167273","Systematic Review","Multimodal","Ensemble/Statistical","Generic","None"
S14,"Zacharis, G., Kourtis, G., Papanikolaou, V., Flegkas, P.",2024,"A methodology for developing & assessing CTI quality metrics","IEEE Access","10.1109/ACCESS.2024.3351108","Technical Framework","Structured","Knowledge-Based","Generic","None"
S15,"Yang, L., Wang, M., Lou, W.",2024,"An automated dynamic quality assessment method for cyber threat intelligence","Computers & Security","10.1016/j.cose.2024.104079","Empirical Evaluation","Structured","Graph-Based","High","DSPT"
S16,"Alevizos, L., Dekker, M.",2024,"Towards an AI-Enhanced Cyber Threat Intelligence Processing Pipeline","Electronics","10.3390/electronics13112021","Technical Framework","Multimodal","NLP-Centric","Generic","None"
S17,"Chen, B., Li, H., Zhao, D., Yang, Y.T., Pan, C.",2025,"Quality assessment of cyber threat intelligence knowledge graph based on adaptive joining of embedding model","Complex & Intelligent Systems","10.1007/s40747-024-01661-3","Technical Framework","Structured","Graph-Based","Generic","None"
S18,"Schmitt, M., Koutroumpis, P.",2025,"Cyber Shadows: Neutralizing Security Threats with AI and Targeted Policy Measures","IEEE Transactions on Artificial Intelligence","10.1109/tai.2025.3527398","Policy Analysis","Unstructured","Ensemble/Statistical","High","HIPAA"
S19,"Almahmoud, Z., Yoo, P.D., Alhussein, O., Awad, M.",2023,"A holistic and proactive approach to forecasting cyber threats","Scientific Reports","10.1038/s41598-023-35198-1","Empirical Evaluation","Multimodal","Graph-Based","Generic","None"
S20,"Cherqi, O., Moukafih, Y., Ghogho, M., Benbrahim, H.",2023,"Enhancing cyber threat identification in open-source intelligence feeds through an improved semi-supervised generative adversarial learning approach with contrastive learning","IEEE Access","10.1109/ACCESS.2023.3299604","Technical Framework","Unstructured","NLP-Centric","Generic","None"
S21,"Negahdari Kia, A., Murphy, F., Sheehan, B., Shannon, D.",2023,"A cyber risk prediction model using common vulnerabilities and exposures","Expert Systems With Applications","10.1016/j.eswa.2023.121599","Empirical Evaluation","Structured","Ensemble/Statistical","Generic","None"
S22,"Guarrasi, V., Russo, G., De Pietro, G.",2025,"A systematic review of intermediate fusion in multimodal deep learning for biomedical applications","Image and Vision Computing","10.1016/j.imavis.2025.105509","Systematic Review","Multimodal","Knowledge-Based","High","None"
S23,"Mei, R., Yan, H., Wang, Q., Han, Z., Lyu, Z.",2022,"TDLens: Toward an empirical evaluation of provenance graph-based approach to cyber threat detection","China Communications","10.23919/jcc.2022.00.028","Technical Framework","Structured","Graph-Based","Generic","None"
S24,"Liu, J., Yan, J., Jiang, J., et al.",2022,"TriCTI: an actionable cyber threat intelligence discovery system via trigger-enhanced neural network","Cybersecurity","10.1186/s42400-022-00110-3","Technical Framework","Unstructured","NLP-Centric","Generic","None"
S25,"Orbinato, V., Barbaraci, M., Natella, R., Cotroneo, D.",2022,"Automatic Mapping of Unstructured Cyber Threat Intelligence: An Experimental Study","IEEE International Symposium on Software Reliability Engineering","10.1109/ISSRE55969.2022.00027","Empirical Evaluation","Unstructured","NLP-Centric","High","HIPAA"
S26,"Ren, Y., Xiao, Y., Zhou, Y., Zhang, Z., Tian, Z.",2023,"CSKG4APT: A cybersecurity knowledge graph for advanced persistent threat organisation attribution","IEEE Transactions on Knowledge and Data Engineering","10.1109/TKDE.2022.3175719","Technical Framework","Multimodal","Graph-Based, Knowledge-Based","Generic","None"
S27,"Tang, B., Li, X., Wang, J., Ge, W., Yu, Z., Lin, T.",2023,"STIOCS: Active learning-based semi-supervised training framework for IOC extraction","Computers and Electrical Engineering","10.1016/j.compeleceng.2023.108981","Technical Framework","Unstructured","NLP-Centric","Generic","None"
S28,"Wang, B.-X., Chen, J.-L., Yu, C.-L.",2022,"An AI-powered Network Threat Detection System","IEEE Access","10.1109/ACCESS.2022.3175886","Empirical Evaluation","Structured","Ensemble/Statistical","Generic","None"
S29,"Zhao, J., Shao, M., Wang, H., Yu, X., Li, B., Liu, X.",2022,"Cyber threat prediction using dynamic heterogeneous graph learning","Knowledge-Based Systems","10.1016/j.knosys.2021.108086","Technical Framework","Structured","Graph-Based","High","DSPT"
S30,"Al-Fawa'reh, M., Al-Fayoumi, M., Nashwan, S., Fraihat, S.",2022,"Cyber threat intelligence using PCA-DNN model to detect abnormal network behavior","Egyptian Informatics Journal","10.1016/j.eij.2021.12.001","Empirical Evaluation","Structured","Ensemble/Statistical","Generic","None"
S31,"Gao, Y., Li, X., Peng, H., Fang, B., Yu, P.S.",2022,"HinCTI: A cyber threat intelligence modeling and identification system based on heterogeneous information network","IEEE Transactions on Knowledge and Data Engineering","10.1109/TKDE.2020.2987019","Technical Framework","Multimodal","Graph-Based","Generic","None"
S32,"Zhao, J., Yan, Q., Liu, X., Li, B., Zuo, G.",2020,"Cyber threat intelligence modeling based on heterogeneous graph convolutional network","RAID 2020","https://www.usenix.org/system/files/raid20-zhao.pdf","Technical Framework","Structured","Graph-Based","Generic","None"
S33,"Arrieta, A.B., Díaz-Rodríguez, N., Del Ser, J., et al.",2020,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","Information Fusion","10.1016/j.inffus.2019.12.012","Systematic Review","Multimodal","Knowledge-Based","Generic","None"
S34,"Kaloudi, N., Li, J.",2020,"The AI-based cyber threat landscape: a survey","ACM Computing Surveys","10.1145/3372823","Systematic Review","Multimodal","Ensemble/Statistical","Generic","None"
S35,"Zeadally, S., Adi, E., Baig, Z., Khan, I.",2020,"Harnessing Artificial Intelligence Capabilities to Improve Cybersecurity","IEEE Access","10.1109/ACCESS.2020.2968045","Systematic Review","Multimodal","Knowledge-Based","Generic","None"
S36,"Morovat, K., Panda, B.",2020,"A Survey of Artificial Intelligence in Cybersecurity","CSCI 2020","10.1109/CSCI51800.2020.00026","Systematic Review","Multimodal","Ensemble/Statistical","Generic","None"
S37,"He, Y., Aliyu, A., Evans, M., Luo, C.",2021,"Health care cybersecurity challenges and solutions under the climate of COVID-19: scoping review","Journal of Medical Internet Research","10.2196/21747","Systematic Review","Unstructured","Knowledge-Based","High","HIPAA"
S38,"Schlette, D., Caselli, M., Pernul, G.",2021,"A comparative study on cyber threat intelligence: the security incident response perspective","IEEE Communications Surveys & Tutorials","10.1109/COMST.2021.3117338","Systematic Review","Multimodal","Graph-Based","Generic","None"
S39,"Hu, Y., Kuang, W., Qin, Z., et al.",2021,"Artificial intelligence security: threats and countermeasures","ACM Computing Surveys","10.1145/3487890","Systematic Review","Multimodal","Knowledge-Based","Generic","None"
S40,"Zhang, Z., Ning, H., Shi, F., et al.",2021,"Artificial intelligence in cyber security: research advances, challenges, and opportunities","Artificial Intelligence Review","10.1007/s10462-021-09976-0","Systematic Review","Multimodal","Ensemble/Statistical","Generic","None"
S41,"Wiafe, I., Koranteng, F.N., Obeng, E.N., Assyne, N., Wiafe, A., Gulliver, S.R.",2020,"Artificial Intelligence for Cybersecurity: A Systematic Mapping of Literature","IEEE Access","10.1109/ACCESS.2020.3013145","Systematic Review","Multimodal","Graph-Based","Generic","None"
S42,"Wen, S.-F., Shukla, A., Katt, B.",2024,"Artificial intelligence for system security assurance: A systematic literature review","International Journal of Information Security","10.1007/s10207-024-00959-0","Systematic Review","Multimodal","Knowledge-Based","Generic","None"
S43,"Lones, M.A.",2024,"Avoiding common machine learning pitfalls","Patterns","10.1016/j.patter.2024.101046","Methodological Guide","Unstructured","Knowledge-Based","Generic","None"
